image,score
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_000_x217_y1284.png,10.32651424407959
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_001_x130_y543.png,10.429951667785645
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_002_x78_y82.png,10.011863708496094
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_003_x19_y33.png,10.043989181518555
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_004_x44_y1639.png,10.328545570373535
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_005_x166_y1840.png,10.2784423828125
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_006_x128_y1222.png,10.329919815063477
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_007_x248_y1470.png,10.387666702270508
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_008_x161_y1095.png,10.25567626953125
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_009_x143_y1885.png,10.260930061340332
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_010_x71_y1644.png,10.27531623840332
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_011_x171_y5.png,9.970468521118164
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_012_x100_y1728.png,10.302933692932129
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_013_x141_y67.png,9.937260627746582
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_014_x195_y1470.png,10.385321617126465
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_015_x216_y354.png,10.375387191772461
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_016_x22_y1740.png,10.263907432556152
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_017_x5_y1091.png,10.285112380981445
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_018_x123_y852.png,10.25819206237793
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_019_x103_y57.png,10.014047622680664
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_020_x2_y1351.png,10.293449401855469
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_021_x134_y1304.png,10.343818664550781
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_022_x65_y1240.png,10.245292663574219
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_023_x195_y773.png,10.390644073486328
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_024_x117_y2010.png,10.270480155944824
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_025_x206_y1977.png,10.205994606018066
C:\Dev\KorailWheel\data\data_tiles\external_test\normal\images\L0196_jpg.rf.6da984613710f3ebe091075909ad178d_nor_026_x97_y1382.png,10.291608810424805
